dma_code,dma_name,state,lat,lon,adoption_rate,household_count
501,New York,NY,40.7128,-74.006,0.0857,2896506
803,Los Angeles,CA,34.0522,-118.2437,0.0721,3492019
602,Chicago,IL,41.8781,-87.6298,0.0702,787639
504,Philadelphia,PA,39.9526,-75.1652,0.073,969620
623,Dallas-Ft. Worth,TX,32.7767,-96.797,0.0947,666530
807,San Francisco,CA,37.7749,-122.4194,0.0744,1981018
506,Boston,MA,42.3601,-71.0589,0.0684,3817683
524,Atlanta,GA,33.749,-84.388,0.0902,2198827
618,Houston,TX,29.7604,-95.3698,0.0841,3741125
511,Washington DC,DC,38.9072,-77.0369,0.0867,1218526
753,Phoenix,AZ,33.4484,-112.074,0.0897,698936
539,Tampa,FL,27.9506,-82.4572,0.0926,3507597
819,Seattle,WA,47.6062,-122.3321,0.0611,2034568
505,Detroit,MI,42.3314,-83.0458,0.0715,1297151
613,Minneapolis,MN,44.9778,-93.265,0.0623,1390099
528,Miami,FL,25.7617,-80.1918,0.1016,2767733
751,Denver,CO,39.7392,-104.9903,0.0643,1696042
534,Orlando,FL,28.5383,-81.3792,0.0908,1755976
510,Cleveland,OH,41.4993,-81.6944,0.0725,706712
862,Sacramento,CA,38.5816,-121.4944,0.066,1907706
609,St. Louis,MO,38.627,-90.1994,0.0771,3766904
820,Portland OR,OR,45.5152,-122.6784,0.0615,4085751
508,Pittsburgh,PA,40.4406,-79.9959,0.068,3981586
517,Charlotte,NC,35.2271,-80.8431,0.0885,2263953
560,Raleigh-Durham,NC,35.7796,-78.6382,0.0776,2227629
527,Indianapolis,IN,39.7684,-86.1581,0.0782,2698672
512,Baltimore,MD,39.2904,-76.6122,0.0788,3061282
825,San Diego,CA,32.7157,-117.1611,0.0698,2595397
659,Nashville,TN,36.1627,-86.7816,0.0808,794053
533,Hartford,CT,41.7658,-72.6734,0.0686,3687468
616,Kansas City,MO,39.0997,-94.5786,0.0714,3049372
535,Columbus OH,OH,39.9612,-82.9988,0.0754,4281719
770,Salt Lake City,UT,40.7608,-111.891,0.0595,831127
515,Cincinnati,OH,39.1031,-84.512,0.0718,2811904
617,Milwaukee,WI,43.0389,-87.9065,0.0666,3117509
641,San Antonio,TX,29.4241,-98.4936,0.0794,4006927
548,West Palm Beach,FL,26.7153,-80.0534,0.1034,965140
839,Las Vegas,NV,36.1699,-115.1398,0.0887,4157025
635,Austin,TX,30.2672,-97.7431,0.0755,725259
561,Jacksonville,FL,30.3322,-81.6557,0.0913,2777174
630,Birmingham AL,AL,33.5186,-86.8104,0.0861,3918305
640,Memphis,TN,35.1495,-90.049,0.0852,3416253
650,Oklahoma City,OK,35.4676,-97.5164,0.0762,3090891
567,Greenville SC,SC,34.8526,-82.394,0.0818,4052980
529,Louisville,KY,38.2527,-85.7585,0.079,1162270
622,New Orleans,LA,29.9511,-90.0715,0.0873,2010459
514,Buffalo,NY,42.8864,-78.8784,0.0686,1264984
790,Albuquerque,NM,35.0844,-106.6504,0.0623,3517807
789,Tucson,AZ,32.2226,-110.9747,0.0747,4345000
556,Richmond,VA,37.5407,-77.436,0.0772,3948057
881,Spokane,WA,30.6701,-101.7655,0.0533,333473
757,Boise,ID,36.0983,-105.1378,0.0534,244460
679,Des Moines,IA,30.943,-113.7178,0.0737,166612
652,Omaha,NE,28.2352,-82.9386,0.0648,140600
671,Tulsa,OK,28.0798,-102.3095,0.0529,238595
678,Wichita,KS,34.2129,-116.1019,0.0633,315265
693,Little Rock,AR,40.7718,-87.2301,0.0735,284412
669,Madison,WI,43.2094,-80.8979,0.072,338219
557,Knoxville,TN,35.7801,-117.1338,0.0568,377550
541,Lexington,KY,31.7169,-75.7206,0.057,276015
573,Roanoke,VA,34.631,-119.5289,0.0499,45122
686,Mobile,AL,38.4641,-77.3994,0.062,366775
612,Shreveport,LA,45.0495,-93.1388,0.0458,122883
765,El Paso,TX,46.6316,-93.6929,0.064,293591
744,Honolulu,HI,44.5543,-75.3242,0.0487,289312
743,Anchorage,AK,34.0811,-115.2265,0.0594,224639
523,Burlington VT,VT,37.3331,-89.4733,0.0672,315707
500,Portland ME,ME,46.5442,-97.1719,0.0457,121861
519,Charleston SC,SC,45.8258,-86.3673,0.0657,201284
507,Savannah,GA,44.8348,-89.2788,0.0744,181899
718,Jackson MS,MS,45.711,-105.2823,0.0606,161807
724,Fargo,ND,43.1916,-106.5057,0.061,161938
725,Sioux Falls,SD,43.3738,-86.3588,0.0634,147312
759,Cheyenne,WY,43.9575,-87.226,0.0692,163876
537,Bangor,ME,37.6092,-87.6428,0.051,59647
722,Lincoln NE,NE,37.2087,-112.8987,0.0687,362267
619,Springfield MO,MO,36.7209,-77.96,0.0737,228248
547,Toledo,OH,35.1104,-111.6383,0.0737,163932
542,Dayton,OH,34.5859,-99.3153,0.0591,364953
563,Grand Rapids,MI,37.3497,-91.31,0.0702,89448
551,Lansing,MI,30.3381,-103.7388,0.07,149500
658,Green Bay,WI,31.4812,-84.9106,0.0593,219334
538,Rochester NY,NY,46.4502,-88.0742,0.0476,287829
555,Syracuse,NY,46.4625,-87.9345,0.057,134130
532,Albany NY,NY,28.5372,-94.2318,0.0748,288979
521,Providence,RI,30.8504,-83.154,0.0692,293699
544,Norfolk,VA,34.8329,-96.213,0.0647,113673
518,Greensboro,NC,43.5875,-87.8606,0.0456,98882
550,Wilmington NC,NC,46.2057,-101.611,0.0608,147134
546,Columbia SC,SC,32.1153,-110.1638,0.0698,198598
520,Augusta GA,GA,42.8918,-106.6785,0.06,330397
503,Macon,GA,30.5559,-79.2292,0.0576,230484
530,Tallahassee,FL,40.9183,-83.6928,0.0719,315931
571,Ft. Myers,FL,45.8956,-98.4225,0.0576,323829
4173,Pensacola,FL,28.3647,-101.3141,0.0607,141001
651,Lubbock,TX,43.1328,-114.9593,0.0633,119217
634,Amarillo,TX,42.1413,-95.8456,0.0592,215908
600,Corpus Christi,TX,38.3492,-99.3231,0.0655,100631
811,Reno,NV,29.108,-113.0086,0.0715,67124
801,Eugene,OR,37.9004,-95.5987,0.0682,78223
810,Yakima,WA,39.9443,-98.239,0.0583,313520
756,Billings,MT,33.4051,-98.1167,0.051,295628
762,Missoula,MT,32.8293,-97.4091,0.0602,181101
758,Idaho Falls,ID,45.4087,-112.4783,0.0727,279633
767,Casper,WY,30.3716,-101.2204,0.0491,83035
773,Grand Junction,CO,36.3526,-112.0036,0.0651,203743
752,Colorado Springs,CO,45.492,-114.741,0.0685,236985
605,Topeka,KS,45.2152,-76.5254,0.0493,160127
545,Fayetteville NC,NC,29.8354,-80.4082,0.0674,130351
