zip,city,state,lat,lon,dma_code,adoption_rate,population
29840,New York,NY,40.67049,-74.15645,501,0.0948,58523
19298,New York,NY,40.75581,-74.23632,501,0.066,75359
12940,New York,NY,40.55016,-74.12453,501,0.0972,28995
03633,New York,NY,40.93749,-74.0845,501,0.0778,71203
28526,New York,NY,40.60198,-74.15162,501,0.0605,38874
76273,New York,NY,41.13372,-74.34271,501,0.0822,30806
13138,New York,NY,40.50672,-74.23239,501,0.0771,60939
57602,New York,NY,41.12135,-73.69218,501,0.1003,5358
17679,New York,NY,40.29182,-73.81744,501,0.1015,64532
77963,New York,NY,40.70364,-74.39018,501,0.1032,71687
62362,New York,NY,41.13782,-74.23238,501,0.0628,22734
20932,New York,NY,40.73293,-73.84213,501,0.1037,62442
12142,New York,NY,40.75915,-74.42041,501,0.0959,32984
75631,New York,NY,41.09073,-73.87504,501,0.0723,19272
83114,New York,NY,40.48941,-73.88334,501,0.0918,17197
14035,New York,NY,40.32612,-73.98401,501,0.0861,53366
35195,New York,NY,40.46402,-73.91505,501,0.0579,42020
61384,New York,NY,40.51354,-74.17128,501,0.0987,34266
63300,New York,NY,40.73645,-73.9637,501,0.0588,56476
93361,New York,NY,40.84748,-74.40622,501,0.067,57552
11629,New York,NY,40.49433,-73.85538,501,0.1029,32225
65612,New York,NY,40.29349,-74.15175,501,0.0781,54451
26963,New York,NY,40.26888,-74.1931,501,0.099,11338
27899,New York,NY,40.70893,-74.27563,501,0.0951,27919
31253,New York,NY,40.6814,-74.21748,501,0.1012,16787
82737,New York,NY,40.70899,-74.28742,501,0.0684,57160
88202,New York,NY,40.31358,-73.92068,501,0.1028,9624
28912,New York,NY,40.28407,-73.91949,501,0.0778,10382
25131,New York,NY,40.61679,-73.64765,501,0.1009,17338
11403,New York,NY,41.10124,-74.15968,501,0.0665,71286
98821,New York,NY,40.68365,-74.17536,501,0.0931,51505
44477,New York,NY,40.66099,-74.35794,501,0.0612,13085
47068,New York,NY,40.64096,-73.65934,501,0.085,29684
50825,New York,NY,40.58377,-73.71658,501,0.0978,59181
12503,New York,NY,40.30713,-74.02988,501,0.0757,61003
26301,New York,NY,40.55378,-73.79241,501,0.0807,56344
33508,New York,NY,40.99344,-73.766,501,0.0594,7068
61825,New York,NY,40.31912,-73.62793,501,0.07,10738
80380,New York,NY,40.56796,-74.21092,501,0.1045,8212
35364,New York,NY,40.93459,-73.83538,501,0.1029,41481
01495,New York,NY,40.91221,-73.91999,501,0.097,11063
04180,New York,NY,41.00622,-74.35946,501,0.0926,63545
51662,New York,NY,40.97362,-73.63381,501,0.0975,19894
66083,New York,NY,40.42745,-73.73369,501,0.0937,22333
80595,New York,NY,40.47533,-73.68088,501,0.0801,12856
68094,New York,NY,40.44038,-73.7784,501,0.0696,10984
86138,New York,NY,40.29328,-73.95866,501,0.0734,58409
14792,New York,NY,41.15184,-74.2176,501,0.0615,15138
56190,New York,NY,40.71143,-73.81721,501,0.0794,33196
18424,New York,NY,40.63796,-73.89772,501,0.0906,73090
88088,New York,NY,40.94641,-73.75422,501,0.0719,39121
75303,New York,NY,40.5037,-74.22735,501,0.0702,60092
33432,New York,NY,40.42996,-74.24405,501,0.0712,27174
43774,New York,NY,40.32112,-74.22951,501,0.0695,71484
31328,New York,NY,40.84748,-74.36551,501,0.0802,7352
14413,New York,NY,40.26684,-73.66146,501,0.0688,61259
50005,New York,NY,40.29913,-74.19169,501,0.0633,27347
79708,New York,NY,41.13847,-73.93113,501,0.1032,51289
68197,New York,NY,41.04231,-74.0518,501,0.0702,3330
14865,New York,NY,40.83651,-73.81726,501,0.0746,7409
49328,New York,NY,40.56881,-74.41625,501,0.1066,7511
79568,New York,NY,40.92181,-73.63344,501,0.0975,45393
54608,New York,NY,40.87329,-74.28937,501,0.0728,29161
