panelist_id,age_band,region,category,months_on_glp1,pre_glp1_size,post_glp1_size
P00000,45-54,Northeast,womens_bottoms,9,XS,XS
P00001,65+,Midwest,mens_bottoms,5,L,M
P00002,25-34,West,womens_bottoms,22,XL,L
P00003,65+,Midwest,womens_dresses,24,M,XS
P00004,65+,West,womens_tops,22,3X+,3X+
P00005,25-34,Southwest,mens_bottoms,8,2X,XL
P00006,35-44,Southeast,womens_bottoms,4,L,L
P00007,45-54,Midwest,mens_tops,16,M,XS
P00008,65+,Midwest,mens_bottoms,18,M,XS
P00009,55-64,Northeast,mens_bottoms,22,1X,L
P00010,45-54,Southeast,mens_tops,14,M,M
P00011,55-64,Northeast,mens_tops,16,XL,L
P00012,65+,West,womens_dresses,8,XL,L
P00013,55-64,Northeast,womens_tops,9,XL,M
P00014,65+,Southeast,mens_bottoms,18,L,S
P00015,65+,Northeast,womens_dresses,5,2X,XL
P00016,65+,Southwest,mens_bottoms,3,L,L
P00017,65+,West,womens_tops,8,2X,1X
P00018,55-64,Northeast,mens_tops,9,XL,L
P00019,65+,Southwest,mens_tops,6,XL,L
P00020,35-44,Northeast,womens_tops,12,2X,XL
P00021,25-34,Northeast,mens_bottoms,3,XL,XL
P00022,45-54,Southwest,womens_bottoms,17,L,M
P00023,55-64,Southwest,womens_bottoms,5,1X,XL
P00024,35-44,Midwest,womens_dresses,12,1X,XL
P00025,25-34,Southwest,mens_tops,3,2X,1X
P00026,45-54,West,mens_tops,4,M,XS
P00027,65+,Southwest,womens_tops,21,L,L
P00028,35-44,West,mens_tops,6,1X,L
P00029,35-44,Northeast,womens_tops,24,XL,L
P00030,65+,West,mens_bottoms,8,2X,XL
P00031,25-34,Midwest,mens_tops,21,1X,L
P00032,55-64,Southeast,mens_bottoms,18,M,S
P00033,55-64,Midwest,womens_tops,10,3X+,2X
P00034,45-54,West,womens_dresses,6,L,M
P00035,65+,Midwest,mens_tops,24,XL,M
P00036,65+,West,womens_dresses,15,L,M
P00037,35-44,Northeast,mens_tops,5,L,L
P00038,35-44,West,womens_bottoms,21,S,XS
P00039,35-44,West,womens_dresses,20,XL,M
P00040,35-44,Northeast,womens_dresses,3,2X,2X
P00041,45-54,Northeast,mens_tops,24,1X,L
P00042,55-64,Southwest,mens_tops,13,XL,XL
P00043,55-64,Midwest,womens_dresses,5,L,L
P00044,55-64,West,womens_bottoms,10,XL,XL
P00045,65+,Southwest,womens_dresses,14,1X,M
P00046,25-34,Midwest,womens_tops,9,M,M
P00047,25-34,Midwest,mens_tops,7,2X,2X
P00048,55-64,Southwest,womens_bottoms,20,L,S
P00049,55-64,Midwest,womens_bottoms,19,S,XS
P00050,25-34,Southeast,womens_dresses,22,3X+,1X
P00051,35-44,Southwest,mens_tops,16,L,L
P00052,65+,Northeast,womens_dresses,5,L,M
P00053,65+,West,womens_bottoms,13,XL,M
P00054,45-54,Northeast,womens_tops,23,L,M
P00055,45-54,Midwest,womens_bottoms,15,1X,L
P00056,65+,West,womens_dresses,15,3X+,XL
P00057,35-44,Southwest,womens_dresses,12,M,XS
P00058,65+,Southeast,mens_bottoms,15,1X,L
P00059,45-54,Midwest,mens_bottoms,21,L,M
P00060,25-34,West,mens_tops,9,M,XS
P00061,35-44,Midwest,womens_bottoms,12,M,S
P00062,45-54,Southeast,womens_dresses,15,2X,1X
P00063,45-54,West,womens_dresses,14,2X,2X
P00064,45-54,Southwest,mens_bottoms,22,L,S
P00065,35-44,Southeast,mens_tops,18,XL,M
P00066,45-54,Southwest,mens_tops,15,1X,XL
P00067,35-44,Southwest,womens_bottoms,20,XL,M
P00068,45-54,West,womens_dresses,22,1X,S
P00069,65+,Northeast,womens_bottoms,4,XL,M
P00070,45-54,Southwest,womens_tops,22,2X,1X
P00071,65+,Midwest,womens_dresses,23,XL,L
P00072,45-54,West,mens_tops,21,L,M
P00073,65+,Northeast,womens_dresses,23,1X,XL
P00074,45-54,West,mens_tops,11,M,S
P00075,65+,Southeast,mens_tops,11,L,M
P00076,35-44,Midwest,mens_tops,4,L,L
